folder,n,domain,knowledge
vinita,3,False,False
ECOSURVEY1516,3,False,False
MPHIL2021A,3,False,False
deldan,3,False,False
NEPAL,3,False,False
sa-654,3,False,False
elearning17032008,3,False,False
PHD2021B,3,False,False
epw author,3,False,False
FOODSECURITY,3,True,False
M.Phil,3,False,False
kamlesh,3,False,False
Maps,3,False,False
Afghanistanshp,3,True,False
unhcr,3,False,False
Pakistan,3,True,False
indonesia,3,False,False
Mackinder classical,3,False,False
MIDSEM,3,False,False
MA2021,3,False,False
Sasanians,3,False,False
faostat2017,3,False,False
ricewheat,3,False,False
shubham_mandaloi,3,False,False
economi review 2010,3,False,False
intrnational_organisations,3,False,False
gis_afgrandom,3,False,False
green diplomacy,3,True,False
vineeta,3,False,False
FAOGIS,3,False,False
LECTURE13,3,False,False
dorronsorro,2,False,False
solution to exercises and applications in R,2,False,False
afminshp,2,False,False
baudrillard,2,False,False
agriculture_survey,2,False,False
MA_syllabus_revised_2022,2,False,False
final,2,False,False
India,2,False,False
asish_minz,2,False,False
MPHIL2010A,2,False,False
sa654,2,False,False
LECTURE4,2,False,False
endsem_scripts,2,False,False
Bali meeting,2,False,False
afcensus,2,False,False
afg_excel,2,False,False
earthtrends,2,False,False
MinComSum10,2,False,False
IT,2,False,False
datamining,2,False,False
cryosphere,2,False,False
cia_2010,2,False,False
Learning Python 5th Ed 2013,2,False,False
maps,2,False,False
endsemanswers,2,False,False
gpt_processed,2,False,False
forportal,2,False,False
MA2010_submit,2,False,False
AFG_MAPS,2,False,False
maiwand,2,False,False
Skype class,2,False,False
tandf_afg,1,False,False
lec1_resources,1,False,False
Oliver roy,1,False,False
hegemony,1,False,False
Gustavson,1,False,False
pagesfrombooks2,1,False,False
SEMESTER,1,False,False
pak_wheat,1,False,False
OHKSPATE,1,False,False
LECTURE8,1,False,False
LECTURE9,1,False,False
npprint,1,False,False
LECTURE7,1,False,False
LECTURE3,1,False,False
LECTURE6,1,False,False
ENDSEM2017,1,False,False
LECTURE1,1,False,False
LECTURE2,1,False,False
LECTURE12,1,False,False
Endsem2015,1,False,False
Final Thesis,1,False,False
pagesfrombooks,1,False,False
structuralism,1,False,False
BOOKLIBDATA,1,False,False
Ph.D,1,False,False
chapters_latest14062010,1,False,False
LocalDisk_F,1,False,False
Anja V. Hartmann_Beatrice Heuser War Peace and World Orders in European History The New International Relations,1,True,False
res01lt2crav6190_png,1,False,False
bdeshborder,1,False,False
Fundamentals of Probability by Saeed Ghahramani [2nd Edition],1,False,False
koppenafg,1,False,False
papers,1,False,False
critcalgeop_notes,1,False,False
midsem,1,False,False
MPHIL2011B,1,False,False
Vol4b Civilisation of Casia,1,False,False
studymaterial,1,False,False
zinnes_models,1,False,True
zinnes_quir,1,False,False
M.PHIL SYNOPSIS,1,False,False
Outline,1,False,False
Rahul,1,False,False
kouser,1,False,False
notice,1,False,False
Syllabus,1,False,False
MA,1,False,False
SA662,1,False,False
saarceco,1,False,False
GIS Course,1,False,False
MPHIL2013B,1,False,False
notices,1,False,False
BOOKMINDMAPPING,1,False,True
ch2_latest,1,False,False
PhD Synopsis,1,False,False
art:10.1023,1,False,False
Probability And Statistics Textbook,1,False,False
UGC_modelcurriculum,1,False,True
CHATGPT_DATABASE,1,False,False
MA2017,1,False,False
"Introduction to International Relations, 5E- Jackson [PDF] [StormRG]",1,True,False
minghi_kasperson,1,False,False
Introduction to Probability and Statistics,1,False,False
epPZ7gAM9cW,1,False,False
LEARNING PYTHON  POWERFUL OBJECT-ORIENTED PROGRAMMING,1,False,False
book_maths,1,False,False
IPCC_physicalscience,1,False,False
